age,gender,height_cm,current_weight,goal_weight,goal_type,activity_level,weeks_to_goal
29,Female,146,100.0,78.8,Weight Loss,Sedentary,61.6
63,Female,156,70.9,81.0,General Fitness,Sedentary,43.8
55,Male,186,118.0,125.6,General Fitness,Very Active,28.5
67,Female,180,47.0,49.2,General Fitness,Very Active,10.4
70,Female,177,90.4,87.4,Weight Loss,Very Active,9.5
32,Female,180,52.2,41.4,Weight Loss,Moderate,34.9
55,Female,160,84.0,72.6,Weight Loss,Sedentary,34.5
20,Male,169,119.5,133.3,General Fitness,Very Active,46.2
46,Male,173,88.1,92.9,General Fitness,Moderate,22.0
50,Female,154,66.1,38.2,Weight Loss,Very Active,67.8
64,Male,181,77.1,52.8,Weight Loss,Active,67.0
61,Female,164,91.1,72.4,Weight Loss,Active,53.4
49,Female,175,64.0,46.1,Weight Loss,Very Active,45.1
70,Female,157,98.9,106.0,Muscle Gain,Active,77.5
17,Female,165,86.0,64.0,Weight Loss,Very Active,45.6
21,Female,178,95.1,91.7,Weight Loss,Very Active,7.5
19,Male,185,105.8,113.3,Muscle Gain,Moderate,60.6
69,Female,166,91.9,104.9,General Fitness,Sedentary,65.9
70,Female,179,47.0,49.0,General Fitness,Very Active,8.5
42,Male,161,104.4,93.5,General Fitness,Sedentary,40.2
16,Female,147,62.8,58.3,Weight Loss,Active,9.8
24,Female,160,74.2,86.8,Muscle Gain,Very Active,103.3
20,Male,194,111.6,91.9,Weight Loss,Moderate,53.0
55,Female,172,83.0,90.4,General Fitness,Active,31.0
21,Male,170,79.8,88.9,Muscle Gain,Very Active,82.4
16,Female,170,60.1,51.2,General Fitness,Active,29.3
53,Female,167,57.0,63.2,Muscle Gain,Moderate,62.7
55,Female,151,94.7,104.7,General Fitness,Moderate,37.0
61,Female,153,50.0,39.0,Weight Loss,Active,32.5
23,Female,179,93.2,80.3,Weight Loss,Moderate,35.7
67,Female,175,98.2,87.2,Weight Loss,Active,33.0
19,Female,154,86.5,77.4,Weight Loss,Very Active,19.6
20,Female,170,45.8,54.3,General Fitness,Active,25.7
52,Female,169,90.2,76.0,General Fitness,Active,58.6
59,Male,174,97.2,94.6,General Fitness,Very Active,10.4
28,Female,173,69.5,60.1,Weight Loss,Active,22.3
49,Female,167,48.3,37.9,Weight Loss,Active,25.1
30,Male,163,106.2,97.7,Weight Loss,Active,21.3
67,Male,169,76.4,73.3,General Fitness,Moderate,12.9
49,Female,161,88.9,82.9,Weight Loss,Moderate,21.2
37,Male,170,93.3,89.9,Weight Loss,Sedentary,10.6
62,Female,171,73.9,50.8,Weight Loss,Moderate,87.7
47,Female,151,69.9,76.7,Muscle Gain,Active,84.4
44,Male,156,59.0,66.7,General Fitness,Active,29.0
46,Female,173,49.0,46.9,General Fitness,Sedentary,7.7
54,Male,195,93.0,70.8,Weight Loss,Active,55.9
44,Female,177,78.3,75.9,General Fitness,Active,8.6
29,Male,181,77.0,87.7,Muscle Gain,Very Active,100.6
35,Female,172,62.2,57.6,General Fitness,Sedentary,17.0
68,Female,150,50.1,44.5,Weight Loss,Sedentary,21.2
52,Female,180,75.9,54.8,Weight Loss,Sedentary,75.2
24,Female,175,57.3,51.4,Weight Loss,Moderate,18.0
51,Female,159,89.4,63.6,Weight Loss,Active,67.1
16,Male,166,72.8,84.5,General Fitness,Active,44.1
70,Female,154,76.1,62.3,Weight Loss,Moderate,54.2
20,Male,188,69.0,75.9,General Fitness,Sedentary,20.6
25,Male,194,58.2,53.0,Weight Loss,Moderate,14.9
46,Female,173,67.8,63.8,General Fitness,Very Active,15.3
33,Female,176,74.0,82.2,Muscle Gain,Sedentary,84.5
15,Male,168,74.6,81.2,Muscle Gain,Sedentary,57.8
49,Male,169,87.5,62.0,Weight Loss,Very Active,62.3
70,Female,147,69.0,53.6,Weight Loss,Very Active,40.5
69,Female,151,58.4,39.5,Weight Loss,Very Active,57.2
48,Male,187,67.6,79.5,General Fitness,Sedentary,47.6
24,Male,171,67.8,48.5,Weight Loss,Sedentary,54.3
44,Male,191,104.4,89.3,Weight Loss,Very Active,35.6
24,Female,173,48.8,56.0,General Fitness,Active,24.1
37,Female,177,49.1,41.6,General Fitness,Sedentary,27.5
19,Male,160,95.0,106.6,Muscle Gain,Active,92.0
43,Female,157,62.7,55.0,General Fitness,Sedentary,30.2
66,Male,176,118.9,123.3,Muscle Gain,Sedentary,56.0
60,Male,183,119.4,102.3,Weight Loss,Moderate,65.4
33,Male,179,81.6,90.4,Muscle Gain,Active,93.1
19,Male,176,61.1,71.6,General Fitness,Active,29.6
36,Female,150,77.1,80.1,General Fitness,Moderate,10.1
23,Female,150,62.0,68.3,General Fitness,Very Active,21.5
56,Male,182,88.1,89.4,General Fitness,Sedentary,5.6
64,Male,186,67.5,37.5,Weight Loss,Active,90.2
69,Male,161,88.0,70.4,Weight Loss,Active,68.5
64,Male,194,63.5,57.2,General Fitness,Active,28.8
61,Male,183,57.8,51.7,General Fitness,Moderate,28.6
63,Female,173,57.9,62.2,General Fitness,Active,20.1
66,Female,153,93.0,88.6,Weight Loss,Moderate,15.7
60,Female,178,91.8,99.6,Muscle Gain,Sedentary,97.1
47,Male,164,109.0,113.6,Muscle Gain,Very Active,46.5
16,Male,181,58.5,70.0,Muscle Gain,Active,96.0
17,Female,163,95.5,79.7,Weight Loss,Moderate,40.9
43,Male,194,55.3,57.4,General Fitness,Very Active,9.5
22,Male,173,70.4,64.1,Weight Loss,Very Active,11.5
60,Male,164,73.9,74.9,General Fitness,Moderate,3.7
26,Male,160,89.0,83.0,General Fitness,Very Active,19.4
55,Female,169,99.0,106.3,Muscle Gain,Sedentary,90.2
37,Female,179,63.6,43.2,Weight Loss,Sedentary,56.2
55,Female,156,89.6,91.5,General Fitness,Very Active,7.4
17,Male,167,112.6,121.0,Muscle Gain,Moderate,76.0
67,Female,179,71.0,69.5,General Fitness,Very Active,6.3
66,Female,150,85.0,89.3,Muscle Gain,Active,49.6
35,Male,161,60.2,70.5,General Fitness,Active,43.4
25,Female,173,64.3,65.9,General Fitness,Very Active,5.6
69,Male,193,99.1,84.3,Weight Loss,Moderate,55.8
64,Male,178,78.5,49.9,Weight Loss,Moderate,97.7
58,Male,183,116.7,110.5,General Fitness,Moderate,27.9
40,Male,175,97.2,92.7,General Fitness,Active,15.7
46,Male,188,80.2,89.1,General Fitness,Moderate,34.3
28,Female,163,83.2,68.2,General Fitness,Very Active,53.3
43,Male,166,113.4,98.4,Weight Loss,Sedentary,50.5
57,Male,177,101.1,109.8,General Fitness,Active,32.9
65,Female,168,73.0,66.7,Weight Loss,Moderate,22.3
65,Male,186,56.7,38.7,Weight Loss,Moderate,62.9
64,Female,171,90.3,92.3,General Fitness,Very Active,10.0
47,Male,158,109.0,92.0,Weight Loss,Very Active,39.5
35,Female,159,64.0,35.6,Weight Loss,Moderate,90.5
27,Female,180,60.1,40.2,Weight Loss,Active,52.0
52,Male,192,65.0,75.2,General Fitness,Moderate,44.8
17,Male,191,72.2,63.5,Weight Loss,Sedentary,19.7
46,Female,179,60.9,75.3,General Fitness,Sedentary,53.9
34,Male,184,59.7,61.5,General Fitness,Very Active,7.1
28,Female,166,78.4,86.7,Muscle Gain,Very Active,73.5
40,Female,153,86.8,78.6,General Fitness,Active,31.7
22,Female,162,69.7,62.9,Weight Loss,Very Active,15.5
16,Female,150,97.0,108.6,Muscle Gain,Very Active,73.1
18,Male,158,73.3,54.2,Weight Loss,Active,36.4
17,Female,170,47.8,60.4,Muscle Gain,Active,97.3
19,Female,169,72.7,84.4,General Fitness,Active,42.0
40,Male,178,106.7,94.5,Weight Loss,Sedentary,33.3
53,Female,177,67.1,63.0,Weight Loss,Moderate,13.3
66,Male,185,88.8,81.8,Weight Loss,Active,20.7
47,Female,177,74.3,85.2,General Fitness,Active,37.8
36,Female,152,98.9,80.1,Weight Loss,Active,49.2
31,Male,192,92.5,103.6,General Fitness,Very Active,38.8
24,Male,170,57.1,42.8,General Fitness,Very Active,43.6
35,Male,181,64.8,43.2,Weight Loss,Very Active,53.2
70,Female,148,83.8,92.1,General Fitness,Very Active,38.2
35,Female,156,70.3,78.8,General Fitness,Very Active,29.1
27,Female,160,60.3,65.5,General Fitness,Very Active,17.7
59,Female,176,62.4,68.3,General Fitness,Moderate,24.2
40,Female,167,97.5,72.8,Weight Loss,Very Active,61.4
60,Female,150,64.0,49.1,Weight Loss,Active,44.2
28,Female,157,90.5,95.3,General Fitness,Very Active,18.5
30,Male,158,98.5,81.2,Weight Loss,Moderate,44.6
41,Male,176,101.6,95.9,Weight Loss,Sedentary,20.7
41,Male,185,86.0,77.6,Weight Loss,Moderate,22.0
56,Female,148,94.9,99.4,Muscle Gain,Active,50.9
26,Male,181,112.3,108.8,General Fitness,Sedentary,12.3
62,Female,163,93.2,96.4,Muscle Gain,Moderate,38.9
32,Male,167,107.6,113.2,General Fitness,Very Active,19.4
15,Female,166,88.5,79.6,General Fitness,Moderate,26.2
67,Male,182,88.5,86.3,General Fitness,Very Active,9.3
35,Male,170,55.4,42.0,Weight Loss,Very Active,34.0
34,Female,145,59.4,68.5,Muscle Gain,Active,92.0
44,Male,174,65.4,43.9,Weight Loss,Sedentary,64.3
55,Female,163,65.2,61.1,General Fitness,Sedentary,18.2
62,Female,168,67.9,50.1,Weight Loss,Very Active,52.0
63,Female,160,82.4,73.1,General Fitness,Moderate,43.1
19,Female,152,48.4,39.7,General Fitness,Active,29.0
69,Male,188,83.7,62.3,Weight Loss,Active,59.4
66,Female,148,69.9,53.0,Weight Loss,Very Active,47.2
50,Female,174,82.0,76.7,General Fitness,Sedentary,22.5
62,Female,158,76.8,80.6,Muscle Gain,Sedentary,47.3
49,Female,148,96.4,98.4,General Fitness,Sedentary,7.9
22,Male,166,119.5,113.0,General Fitness,Active,20.1
34,Male,184,98.8,81.1,Weight Loss,Sedentary,54.5
44,Female,167,53.5,45.4,Weight Loss,Moderate,25.2
54,Male,156,70.6,65.8,Weight Loss,Very Active,12.8
30,Male,157,81.1,88.1,Muscle Gain,Sedentary,72.6
47,Male,173,70.2,42.5,Weight Loss,Moderate,95.5
30,Female,164,93.2,78.4,General Fitness,Active,54.6
50,Male,186,58.0,63.8,General Fitness,Very Active,23.2
41,Female,154,61.5,65.1,General Fitness,Very Active,14.3
69,Male,164,107.4,79.7,Weight Loss,Active,80.3
39,Female,160,59.0,67.6,Muscle Gain,Moderate,89.9
20,Male,189,102.1,108.3,Muscle Gain,Active,54.0
62,Male,185,114.4,92.6,Weight Loss,Sedentary,72.6
38,Female,177,93.6,104.5,Muscle Gain,Active,101.4
16,Male,171,91.0,100.2,General Fitness,Moderate,31.1
36,Female,159,65.9,40.4,Weight Loss,Moderate,81.1
31,Female,176,98.2,108.2,General Fitness,Active,36.7
25,Female,153,84.6,68.4,Weight Loss,Active,37.4
68,Male,159,116.4,106.0,General Fitness,Sedentary,46.5
48,Female,162,74.5,63.8,Weight Loss,Sedentary,32.3
21,Female,178,53.2,45.0,Weight Loss,Sedentary,22.0
59,Female,159,61.5,48.9,General Fitness,Moderate,57.6
39,Male,179,90.9,86.4,Weight Loss,Very Active,10.9
20,Male,186,109.9,119.9,General Fitness,Moderate,29.9
29,Male,168,113.6,124.3,General Fitness,Sedentary,35.9
58,Female,162,94.5,76.3,Weight Loss,Sedentary,65.4
16,Male,168,93.2,69.9,Weight Loss,Active,45.4
25,Female,160,76.2,50.3,Weight Loss,Active,53.2
29,Male,159,77.1,53.3,Weight Loss,Very Active,55.1
66,Male,170,101.4,99.3,General Fitness,Active,9.5
62,Female,169,62.4,59.9,General Fitness,Moderate,9.5
63,Female,162,50.6,55.1,Muscle Gain,Active,47.7
21,Female,146,49.9,62.3,Muscle Gain,Very Active,103.7
33,Female,171,66.3,70.7,Muscle Gain,Sedentary,42.2
58,Male,179,66.0,70.8,General Fitness,Moderate,20.7
25,Female,172,60.2,49.1,Weight Loss,Sedentary,34.1
34,Female,145,97.2,85.2,Weight Loss,Moderate,34.9
53,Male,167,86.1,92.1,Muscle Gain,Active,61.9
58,Male,190,56.7,45.5,General Fitness,Moderate,48.4
67,Female,171,82.0,87.4,Muscle Gain,Sedentary,61.8
57,Female,154,84.3,60.0,Weight Loss,Active,69.9
65,Female,168,83.6,71.2,General Fitness,Sedentary,54.1
21,Female,145,50.4,57.2,Muscle Gain,Very Active,62.3
37,Male,174,77.3,53.1,Weight Loss,Moderate,74.2
21,Female,173,84.7,95.4,Muscle Gain,Very Active,95.0
62,Male,170,88.5,97.2,General Fitness,Moderate,35.3
66,Female,170,79.6,85.8,Muscle Gain,Moderate,75.6
28,Male,172,103.9,91.6,General Fitness,Moderate,46.9
38,Male,175,67.8,70.4,General Fitness,Moderate,10.3
54,Female,170,77.3,83.2,General Fitness,Very Active,28.4
54,Male,192,60.5,57.6,General Fitness,Active,11.2
51,Female,169,68.3,60.5,General Fitness,Moderate,31.9
46,Male,163,67.7,77.2,Muscle Gain,Sedentary,95.1
41,Female,173,71.9,76.3,Muscle Gain,Very Active,42.4
17,Male,172,69.6,58.8,Weight Loss,Active,21.2
50,Female,177,51.2,53.8,General Fitness,Very Active,8.6
49,Male,168,119.3,116.9,General Fitness,Very Active,9.1
31,Female,167,92.4,87.1,Weight Loss,Very Active,11.5
66,Male,192,99.8,73.6,Weight Loss,Moderate,96.8
65,Female,158,89.7,65.0,Weight Loss,Moderate,92.1
53,Female,179,54.3,69.0,General Fitness,Active,69.0
69,Female,177,99.2,88.7,General Fitness,Active,50.9
32,Male,163,100.6,105.9,Muscle Gain,Sedentary,48.9
68,Male,170,104.5,115.0,General Fitness,Active,43.7
55,Male,181,79.4,77.3,General Fitness,Active,9.0
59,Female,168,70.0,62.2,General Fitness,Active,29.6
55,Male,177,110.3,122.4,General Fitness,Very Active,57.3
46,Male,172,76.0,83.8,Muscle Gain,Moderate,91.4
65,Male,176,113.1,101.4,General Fitness,Very Active,49.5
16,Male,162,115.4,118.6,General Fitness,Very Active,8.5
31,Female,150,65.5,38.1,Weight Loss,Active,62.6
55,Male,174,102.2,78.8,Weight Loss,Very Active,70.2
60,Female,151,45.1,37.4,General Fitness,Sedentary,28.7
15,Male,155,100.2,112.6,General Fitness,Very Active,36.2
19,Male,188,91.6,82.1,General Fitness,Moderate,29.1
21,Female,153,86.4,67.5,Weight Loss,Sedentary,46.0
64,Male,156,110.1,120.3,General Fitness,Active,45.0
62,Male,180,74.2,72.4,General Fitness,Moderate,8.1
30,Female,176,80.1,84.3,Muscle Gain,Sedentary,42.3
63,Female,175,97.5,85.7,General Fitness,Moderate,45.0
28,Male,157,115.0,86.4,Weight Loss,Active,71.0
55,Female,177,87.2,94.1,General Fitness,Active,29.3
32,Male,160,75.1,66.9,General Fitness,Moderate,27.1
40,Male,192,96.2,83.5,General Fitness,Active,53.3
61,Female,160,48.2,50.4,General Fitness,Very Active,9.5
37,Male,188,88.6,63.4,Weight Loss,Very Active,61.1
23,Female,162,85.3,79.1,Weight Loss,Active,15.6
17,Male,155,70.9,55.2,Weight Loss,Sedentary,42.5
30,Female,171,95.4,83.8,Weight Loss,Active,24.5
22,Male,187,98.8,97.1,General Fitness,Active,5.8
44,Male,173,105.3,113.6,Muscle Gain,Sedentary,95.1
15,Male,178,68.0,76.9,General Fitness,Very Active,23.5
41,Male,156,70.1,57.7,Weight Loss,Sedentary,32.2
41,Male,186,117.5,88.2,Weight Loss,Moderate,96.1
20,Male,157,114.9,128.5,General Fitness,Active,48.8
42,Female,153,58.0,48.0,Weight Loss,Sedentary,35.3
35,Female,173,60.0,64.3,Muscle Gain,Active,37.9
24,Male,161,65.7,50.1,Weight Loss,Sedentary,36.8
64,Female,158,69.9,54.4,Weight Loss,Active,44.5
66,Male,174,108.7,86.9,Weight Loss,Moderate,82.1
24,Male,160,101.2,72.1,Weight Loss,Active,63.3
58,Female,164,59.3,44.4,General Fitness,Sedentary,52.4
68,Male,169,63.5,38.3,Weight Loss,Sedentary,83.4
52,Female,161,95.5,93.5,General Fitness,Sedentary,8.5
66,Male,163,61.0,73.9,General Fitness,Very Active,58.8
18,Male,165,115.1,100.4,Weight Loss,Very Active,28.2
39,Female,172,54.5,61.2,Muscle Gain,Sedentary,65.5
46,Male,181,112.4,104.7,General Fitness,Active,29.8
39,Male,177,86.2,98.1,General Fitness,Sedentary,40.6
26,Female,146,62.5,69.2,Muscle Gain,Active,64.4
48,Female,167,87.2,57.2,Weight Loss,Very Active,74.8
57,Male,170,72.3,47.3,Weight Loss,Moderate,80.9
37,Male,166,66.4,47.4,Weight Loss,Very Active,45.4
60,Female,167,97.1,88.2,General Fitness,Sedentary,34.8
26,Female,176,47.1,45.3,General Fitness,Active,5.8
15,Male,176,114.7,110.9,General Fitness,Very Active,10.5
66,Female,165,48.3,45.2,General Fitness,Moderate,15.9
19,Male,178,100.8,90.5,General Fitness,Active,32.8
23,Female,155,85.3,95.7,Muscle Gain,Active,88.6
26,Female,180,83.1,97.1,General Fitness,Active,47.8
39,Male,174,102.7,97.6,General Fitness,Moderate,18.7
69,Male,191,57.1,47.7,General Fitness,Very Active,41.6
67,Male,195,102.4,96.7,General Fitness,Sedentary,26.9
59,Female,149,64.3,40.1,Weight Loss,Moderate,81.1
43,Male,181,118.0,91.1,Weight Loss,Very Active,64.6
19,Male,157,74.2,62.6,Weight Loss,Very Active,19.8
25,Male,179,65.5,60.5,Weight Loss,Active,9.7
21,Female,166,56.3,48.2,Weight Loss,Sedentary,24.4
34,Female,160,50.3,56.8,General Fitness,Active,22.8
15,Male,182,60.7,35.5,Weight Loss,Active,53.4
16,Female,158,54.4,43.5,Weight Loss,Sedentary,28.5
26,Female,168,93.7,80.7,Weight Loss,Very Active,31.4
20,Male,177,107.5,93.3,Weight Loss,Sedentary,37.1
68,Male,179,108.2,115.1,General Fitness,Sedentary,28.5
26,Male,165,118.2,93.4,Weight Loss,Very Active,55.9
20,Male,182,68.1,42.9,Weight Loss,Very Active,50.0
35,Male,159,60.7,69.5,General Fitness,Active,28.1
70,Female,145,88.3,98.0,General Fitness,Very Active,41.7
34,Male,183,105.3,93.6,Weight Loss,Moderate,32.1
27,Female,173,56.6,69.1,General Fitness,Sedentary,47.5
19,Female,164,84.0,70.1,Weight Loss,Moderate,38.0
68,Male,167,109.4,99.7,Weight Loss,Moderate,32.9
58,Female,146,58.3,66.1,General Fitness,Sedentary,32.4
37,Male,165,109.4,116.8,Muscle Gain,Active,69.1
58,Male,168,72.5,58.4,Weight Loss,Moderate,52.6
45,Male,163,97.1,87.7,General Fitness,Sedentary,41.9
60,Male,172,82.5,91.9,Muscle Gain,Active,98.0
15,Female,177,100.0,114.5,General Fitness,Sedentary,42.2
45,Female,149,63.5,71.2,Muscle Gain,Sedentary,78.7
57,Male,175,99.2,76.7,Weight Loss,Very Active,57.9
41,Female,170,66.4,70.0,Muscle Gain,Active,37.4
69,Female,155,91.2,77.9,General Fitness,Active,61.2
23,Female,161,84.9,66.8,Weight Loss,Very Active,39.0
56,Male,160,69.4,73.5,General Fitness,Active,16.7
31,Female,163,70.5,75.5,Muscle Gain,Active,44.5
45,Male,167,87.5,100.6,General Fitness,Sedentary,48.3
70,Female,154,52.6,59.0,Muscle Gain,Sedentary,84.6
24,Female,165,92.4,88.9,General Fitness,Very Active,12.0
35,Female,148,45.3,52.9,Muscle Gain,Moderate,69.4
46,Male,160,63.4,70.5,General Fitness,Moderate,27.9
39,Female,145,47.1,53.5,Muscle Gain,Very Active,69.2
34,Male,163,61.7,45.1,Weight Loss,Active,33.9
67,Female,147,61.4,50.5,Weight Loss,Sedentary,41.8
36,Female,176,64.8,71.0,Muscle Gain,Moderate,58.6
29,Female,153,56.6,53.0,Weight Loss,Moderate,10.7
60,Male,157,79.4,59.1,Weight Loss,Active,53.7
57,Male,161,97.5,96.2,General Fitness,Sedentary,4.7
34,Male,181,98.0,108.3,General Fitness,Sedentary,36.9
47,Male,194,62.7,67.6,Muscle Gain,Sedentary,53.9
36,Male,170,55.2,44.8,General Fitness,Very Active,32.7
44,Female,163,59.5,57.8,General Fitness,Moderate,6.5
66,Male,175,82.7,87.7,Muscle Gain,Active,55.0
57,Male,165,76.4,49.2,Weight Loss,Moderate,89.0
38,Female,166,55.1,61.7,General Fitness,Sedentary,24.4
26,Female,169,87.9,78.3,General Fitness,Very Active,31.3
41,Female,173,47.5,54.9,Muscle Gain,Sedentary,82.7
57,Female,166,73.6,52.0,Weight Loss,Moderate,71.2
15,Male,165,87.9,95.5,General Fitness,Sedentary,21.2
35,Male,170,76.5,66.0,Weight Loss,Very Active,26.0
40,Male,170,60.1,67.3,General Fitness,Very Active,30.0
41,Male,157,91.2,88.2,Weight Loss,Very Active,7.0
47,Male,190,68.4,78.8,General Fitness,Active,42.7
69,Female,174,63.3,39.6,Weight Loss,Moderate,86.7
60,Female,173,51.3,39.7,General Fitness,Active,51.0
68,Male,195,117.7,125.7,Muscle Gain,Active,93.8
17,Female,155,72.1,84.6,General Fitness,Sedentary,39.3
27,Male,162,115.5,125.2,Muscle Gain,Moderate,89.2
57,Male,192,117.2,122.5,Muscle Gain,Very Active,66.7
50,Female,172,91.1,75.1,Weight Loss,Sedentary,53.9
61,Male,163,61.7,71.9,General Fitness,Moderate,45.0
41,Female,177,61.4,39.5,Weight Loss,Moderate,65.3
27,Female,158,79.3,84.4,General Fitness,Moderate,16.7
47,Male,189,100.1,94.6,General Fitness,Moderate,22.2
52,Female,171,82.1,95.6,General Fitness,Very Active,52.9
33,Male,171,64.5,68.6,Muscle Gain,Moderate,40.9
30,Male,187,106.0,118.2,General Fitness,Very Active,49.3
41,Male,175,117.8,121.7,Muscle Gain,Very Active,43.1
68,Female,159,95.1,73.1,Weight Loss,Very Active,63.4
64,Female,157,61.2,57.7,General Fitness,Moderate,16.8
39,Male,157,82.9,64.9,Weight Loss,Sedentary,53.2
15,Male,176,85.3,57.0,Weight Loss,Active,47.9
53,Male,158,105.3,85.4,Weight Loss,Active,49.3
41,Male,189,89.9,87.6,General Fitness,Moderate,8.4
36,Male,178,74.1,88.4,General Fitness,Active,51.9
43,Male,170,113.8,94.2,Weight Loss,Active,55.9
39,Male,162,80.1,62.5,Weight Loss,Active,44.2
47,Female,177,69.5,65.3,Weight Loss,Active,10.7
28,Male,195,105.3,118.4,General Fitness,Sedentary,36.8
56,Male,159,103.5,96.3,Weight Loss,Very Active,20.1
17,Female,150,49.0,52.5,General Fitness,Active,11.6
31,Male,181,80.2,90.0,General Fitness,Moderate,30.2
